name,mz,rt
1_CUDA iSTD,341.2799,1.163
1_D9-Caffeine iSTD,204.1447,1.2144
1_D4-Biotin iSTD,249.1212,2.9412
1_D4-Acetylcholine iSTD,150.1432,3.0512
1_D3-Creatinine iSTD,117.085,4.777
1_13C5-Adenosine iSTD,273.1214,4.9274
1_D9-Choline iSTD,113.1635,5.153
1_D9-TMAO iSTD,85.1322,5.537
1_D3-1-Methylnicotinamide iSTD,140.0898,6.138
1_D8-Tryptophan iSTD,213.147,6.831
1_D8-Phenylalanine iSTD,174.1362,6.881
1_Val-Tyr-Val iSTD,380.218,6.916
1_D10-Leucine iSTD,142.164,7.031
1_D9-Betaine iSTD,127.1427,7.174
1_D10-Isoleucine iSTD,142.164,7.213
1_D3-AC(2:0) iSTD,207.1419,7.234
"1_D3-Histamine, N-methyl- iSTD",129.1214,7.347
1_D8-Methionine iSTD,158.108,7.425
1_D7-Tyrosine iSTD,189.1257,7.695
1_D3-L-Carnitine iSTD,165.1313,7.731
1_D8-Valine iSTD,126.137,7.753
1_D4-Taurine iSTD,130.0477,7.7735
1_D7-Proline iSTD,123.114,7.842
1_D3-Creatine iSTD,135.0956,8.106
1_D2-Ornithine iSTD,135.109,8.108
1_D4-Alanine iSTD,94.081,8.128
1_D5-Threonine iSTD,125.097,8.303
1_D5-L-Glutamine iSTD,152.1078,8.624
1_D3-Serine iSTD,109.068,8.718
1_D3-Asparagine iSTD,136.0801,8.7869
1_D5-Glutamic acid iSTD,153.092,8.833
1_15N5-Adenosine 5'-monophosphate  iSTD,353.0562,9.2059
1_15N2-Uridine 5'-monophosphate  iSTD,327.0378,9.2532
1_D3-Aspartic acid iSTD,137.0633,9.327
1_D5-Histidine iSTD,161.1079,9.497
1_D8-Lysine iSTD,155.163,9.54
1_15N2-L-Arginine iSTD,177.113,9.575
1_D4-Cystine iSTD,245.056,10.063